Sequence,label
Seq2_01,others
Seq2_02,others
Seq2_03,others
Seq2_04,others
Seq2_05,others
Seq2_06,others
Seq2_07,others
Seq2_08,others
Seq2_09,others
Seq2_10,others
Seq2_11,others
Seq2_12,others
Seq2_13,others
Seq2_14,others
Seq2_15,others
Seq2_16,others
Seq2_17,others
Seq2_18,others
Seq2_19,others
Seq2_20,others
Seq3_01,others
Seq3_02,others
Seq3_03,others
Seq3_04,others
Seq3_05,others
Seq3_06,others
Seq3_07,others
Seq3_08,others
Seq3_09,others
Seq3_10,others
Seq3_11,others
Seq3_12,others
Seq3_13,others
Seq3_14,others
Seq3_15,others
Seq3_16,others
Seq3_17,others
Seq3_18,others
Seq3_19,others
Seq3_20,others
Seq4_01,others
Seq4_02,others
Seq4_03,others
Seq4_04,others
Seq4_05,others
Seq4_06,others
Seq4_07,others
Seq4_08,others
Seq4_09,others
Seq4_10,others
Seq4_11,others
Seq4_12,others
Seq4_13,others
Seq4_14,others
Seq4_15,others
Seq4_16,others
Seq4_17,others
Seq4_18,others
Seq4_19,others
Seq4_20,others
Seq6_01,others
Seq6_02,others
Seq6_03,others
Seq6_04,others
Seq6_05,others
Seq6_06,others
Seq6_07,others
Seq6_08,others
Seq6_09,others
Seq6_10,others
Seq6_11,others
Seq6_12,others
Seq6_13,others
Seq6_14,others
Seq6_15,others
Seq6_16,others
Seq6_17,others
Seq6_18,others
Seq6_19,others
Seq6_20,others
Seq7_01,others
Seq7_02,others
Seq7_03,others
Seq7_04,others
Seq7_05,others
Seq7_06,others
Seq7_07,others
Seq7_08,others
Seq7_09,others
Seq7_10,others
Seq7_11,others
Seq7_12,others
Seq7_13,others
Seq7_14,others
Seq7_15,others
Seq7_16,others
Seq7_17,others
Seq7_18,others
Seq7_19,others
Seq7_20,others
Seq8_01,disgust
Seq8_02,disgust
Seq8_03,disgust
Seq8_04,disgust
Seq8_05,disgust
Seq8_06,disgust
Seq8_07,disgust
Seq8_08,disgust
Seq8_09,disgust
Seq8_10,disgust
Seq8_11,disgust
Seq8_12,disgust
Seq8_13,disgust
Seq8_14,disgust
Seq8_15,disgust
Seq8_16,disgust
Seq8_17,disgust
Seq8_18,disgust
Seq8_19,disgust
Seq8_20,disgust
Seq9_01,disgust
Seq9_02,disgust
Seq9_03,disgust
Seq9_04,disgust
Seq9_05,disgust
Seq9_06,disgust
Seq9_07,disgust
Seq9_08,disgust
Seq9_09,disgust
Seq9_10,disgust
Seq9_11,disgust
Seq9_12,disgust
Seq9_13,disgust
Seq9_14,disgust
Seq9_15,disgust
Seq9_16,disgust
Seq9_17,disgust
Seq9_18,disgust
Seq9_19,disgust
Seq9_20,disgust
Seq10_01,repression
Seq10_02,repression
Seq10_03,repression
Seq10_04,repression
Seq10_05,repression
Seq10_06,repression
Seq10_07,repression
Seq10_08,repression
Seq10_09,repression
Seq10_10,repression
Seq10_11,repression
Seq10_12,repression
