Sequence,label
Seq1_01,happiness
Seq1_02,happiness
Seq1_03,happiness
Seq1_04,happiness
Seq1_08,happiness
Seq1_09,happiness
Seq1_10,happiness
Seq1_11,happiness
Seq1_13,happiness
Seq1_14,happiness
Seq1_15,happiness
Seq1_16,happiness
Seq1_17,happiness
Seq1_18,happiness
Seq1_19,happiness
Seq1_20,happiness
Seq2_01,others
Seq2_02,others
Seq2_03,others
Seq2_04,others
Seq2_05,others
Seq2_06,others
Seq2_07,others
Seq2_08,others
Seq2_09,others
Seq2_10,others
Seq2_12,others
Seq2_13,others
Seq2_14,others
Seq2_15,others
Seq2_16,others
Seq2_18,others
Seq2_19,others
Seq2_20,others
Seq3_02,others
Seq3_03,others
Seq3_05,others
Seq3_08,others
Seq3_09,others
Seq3_10,others
Seq3_11,others
Seq3_12,others
Seq3_13,others
Seq3_14,others
Seq3_15,others
Seq3_16,others
Seq3_17,others
Seq3_18,others
Seq3_19,others
Seq3_20,others
Seq4_01,others
Seq4_04,others
Seq4_05,others
Seq4_06,others
Seq4_07,others
Seq4_08,others
Seq4_09,others
Seq4_10,others
Seq4_11,others
Seq4_12,others
Seq4_13,others
Seq4_14,others
Seq4_15,others
Seq4_16,others
Seq4_17,others
Seq4_18,others
Seq4_20,others
Seq5_01,others
Seq5_02,others
Seq5_03,others
Seq5_04,others
Seq5_06,others
Seq5_08,others
Seq5_09,others
Seq5_10,others
Seq5_11,others
Seq5_12,others
Seq5_14,others
Seq5_15,others
Seq5_16,others
Seq5_17,others
Seq5_18,others
Seq5_19,others
Seq5_20,others
Seq6_03,others
Seq6_05,others
Seq6_06,others
Seq6_07,others
Seq6_08,others
Seq6_11,others
Seq6_12,others
Seq6_13,others
Seq6_14,others
Seq6_15,others
Seq6_16,others
Seq6_17,others
Seq6_18,others
Seq6_20,others
Seq7_01,others
Seq7_02,others
Seq7_04,others
Seq7_05,others
Seq7_07,others
Seq7_08,others
Seq7_11,others
Seq7_12,others
Seq7_13,others
Seq7_15,others
Seq7_16,others
Seq7_20,others
Seq8_01,disgust
Seq8_02,disgust
Seq8_03,disgust
Seq8_04,disgust
Seq8_05,disgust
Seq8_06,disgust
Seq8_07,disgust
Seq8_08,disgust
Seq8_09,disgust
Seq8_10,disgust
Seq8_12,disgust
Seq8_13,disgust
Seq8_14,disgust
Seq8_15,disgust
Seq8_16,disgust
Seq8_18,disgust
Seq9_01,disgust
Seq9_02,disgust
Seq9_05,disgust
Seq9_06,disgust
Seq9_08,disgust
Seq9_09,disgust
Seq9_10,disgust
Seq9_11,disgust
Seq9_12,disgust
Seq9_13,disgust
Seq9_14,disgust
Seq9_15,disgust
Seq9_16,disgust
Seq9_17,disgust
Seq9_18,disgust
Seq9_19,disgust
Seq9_20,disgust
Seq10_01,repression
Seq10_04,repression
Seq10_05,repression
Seq10_06,repression
Seq10_07,repression
Seq10_08,repression
Seq10_09,repression
Seq10_10,repression
Seq10_11,repression
Seq10_15,repression
Seq10_16,repression
Seq10_17,repression
Seq10_19,repression
Seq11_01,repression
Seq11_03,repression
Seq11_04,repression
Seq11_08,repression
Seq11_09,repression
Seq11_10,repression
Seq11_11,repression
Seq11_12,repression
Seq11_14,repression
Seq11_15,repression
Seq11_16,repression
Seq11_17,repression
Seq11_19,repression
Seq11_20,repression
Seq12_01,repression
Seq12_02,repression
Seq12_03,repression
Seq12_04,repression
Seq12_05,repression
Seq12_06,repression
Seq12_08,repression
Seq12_09,repression
Seq12_10,repression
Seq12_11,repression
Seq12_12,repression
Seq12_14,repression
Seq12_15,repression
Seq12_16,repression
Seq12_17,repression
Seq12_18,repression
Seq12_19,repression
Seq12_20,repression
Seq13_01,repression
Seq13_02,repression
Seq13_04,repression
Seq13_05,repression
Seq13_06,repression
Seq13_07,repression
Seq13_09,repression
Seq13_11,repression
Seq13_12,repression
Seq13_14,repression
Seq13_16,repression
Seq13_17,repression
Seq13_18,repression
Seq13_20,repression
Seq14_02,repression
Seq14_03,repression
Seq14_04,repression
Seq14_05,repression
Seq14_06,repression
Seq14_07,repression
Seq14_08,repression
Seq14_09,repression
Seq14_10,repression
Seq14_11,repression
Seq14_12,repression
Seq14_13,repression
Seq14_14,repression
Seq14_15,repression
Seq14_16,repression
Seq14_18,repression
Seq14_19,repression
Seq14_20,repression
Seq15_01,others
Seq15_02,others
Seq15_03,others
Seq15_04,others
Seq15_05,others
Seq15_06,others
Seq15_09,others
Seq15_10,others
Seq15_11,others
Seq15_13,others
Seq15_14,others
Seq15_15,others
Seq15_16,others
Seq15_17,others
Seq15_18,others
Seq15_20,others
Seq16_02,happiness
Seq16_04,happiness
Seq16_06,happiness
Seq16_07,happiness
Seq16_08,happiness
Seq16_09,happiness
Seq16_10,happiness
Seq16_11,happiness
Seq16_12,happiness
Seq16_13,happiness
Seq16_14,happiness
Seq16_15,happiness
Seq16_16,happiness
Seq16_17,happiness
Seq16_18,happiness
Seq16_19,happiness
Seq16_20,happiness
Seq17_01,others
Seq17_02,others
Seq17_04,others
Seq17_05,others
Seq17_06,others
Seq17_07,others
Seq17_09,others
Seq17_10,others
Seq17_11,others
Seq17_12,others
Seq17_13,others
Seq17_14,others
Seq17_15,others
Seq17_16,others
Seq17_17,others
Seq17_19,others
Seq17_20,others
Seq18_01,others
Seq18_02,others
Seq18_03,others
Seq18_04,others
Seq18_06,others
Seq18_07,others
Seq18_08,others
Seq18_09,others
Seq18_10,others
Seq18_12,others
Seq18_14,others
Seq18_15,others
Seq18_16,others
Seq18_17,others
Seq18_18,others
Seq18_19,others
Seq18_20,others
Seq19_01,surprise
Seq19_03,surprise
Seq19_04,surprise
Seq19_06,surprise
Seq19_07,surprise
Seq19_08,surprise
Seq19_09,surprise
Seq19_10,surprise
Seq19_11,surprise
Seq19_12,surprise
Seq19_13,surprise
Seq19_14,surprise
Seq19_15,surprise
Seq19_16,surprise
Seq19_17,surprise
Seq19_18,surprise
Seq19_19,surprise
Seq19_20,surprise
Seq20_01,surprise
Seq20_02,surprise
Seq20_03,surprise
Seq20_04,surprise
Seq20_05,surprise
Seq20_06,surprise
Seq20_08,surprise
Seq20_09,surprise
Seq20_11,surprise
Seq20_12,surprise
Seq20_15,surprise
Seq20_16,surprise
Seq20_17,surprise
Seq20_18,surprise
Seq20_19,surprise
Seq20_20,surprise
Seq21_01,surprise
Seq21_02,surprise
Seq21_04,surprise
Seq21_05,surprise
Seq21_06,surprise
Seq21_07,surprise
Seq21_08,surprise
Seq21_09,surprise
Seq21_11,surprise
Seq21_12,surprise
Seq21_14,surprise
Seq21_16,surprise
Seq21_17,surprise
Seq21_19,surprise
Seq21_20,surprise
Seq22_01,others
Seq22_02,others
Seq22_06,others
Seq22_07,others
Seq22_08,others
Seq22_09,others
Seq22_10,others
Seq22_12,others
Seq22_13,others
Seq22_14,others
Seq22_15,others
Seq22_18,others
Seq22_19,others
Seq22_20,others
Seq23_02,surprise
Seq23_03,surprise
Seq23_05,surprise
Seq23_08,surprise
Seq23_10,surprise
Seq23_11,surprise
Seq23_12,surprise
Seq23_14,surprise
Seq23_16,surprise
Seq23_17,surprise
Seq23_18,surprise
Seq23_19,surprise
Seq23_20,surprise
Seq24_01,others
Seq24_03,others
Seq24_04,others
Seq24_06,others
Seq24_07,others
Seq24_09,others
Seq24_10,others
Seq24_11,others
Seq24_12,others
Seq24_13,others
Seq24_14,others
Seq24_15,others
Seq24_16,others
Seq24_17,others
Seq24_18,others
Seq24_19,others
Seq24_20,others
Seq25_01,disgust
Seq25_02,disgust
Seq25_03,disgust
Seq25_04,disgust
Seq25_05,disgust
Seq25_06,disgust
Seq25_07,disgust
Seq25_08,disgust
Seq25_09,disgust
Seq25_10,disgust
Seq25_11,disgust
Seq25_12,disgust
Seq25_13,disgust
Seq25_15,disgust
Seq25_16,disgust
Seq25_17,disgust
Seq25_18,disgust
Seq26_02,others
Seq26_04,others
Seq26_05,others
Seq26_06,others
Seq26_07,others
Seq26_08,others
Seq26_10,others
Seq26_11,others
Seq26_12,others
Seq26_13,others
Seq26_15,others
Seq26_16,others
Seq26_17,others
Seq26_18,others
Seq26_19,others
Seq27_01,disgust
Seq27_03,disgust
Seq27_04,disgust
Seq27_05,disgust
Seq27_06,disgust
Seq27_07,disgust
Seq27_08,disgust
Seq27_10,disgust
Seq27_11,disgust
Seq27_12,disgust
Seq27_13,disgust
Seq27_14,disgust
Seq27_15,disgust
Seq27_16,disgust
Seq27_17,disgust
Seq27_19,disgust
Seq27_20,disgust
Seq28_02,disgust
Seq28_03,disgust
Seq28_04,disgust
Seq28_05,disgust
Seq28_08,disgust
Seq28_09,disgust
Seq28_10,disgust
Seq28_11,disgust
Seq28_12,disgust
Seq28_13,disgust
Seq28_15,disgust
Seq28_16,disgust
Seq28_18,disgust
Seq28_19,disgust
Seq28_20,disgust
Seq29_01,disgust
Seq29_02,disgust
Seq29_03,disgust
Seq29_04,disgust
Seq29_05,disgust
Seq29_06,disgust
Seq29_07,disgust
Seq29_08,disgust
Seq29_09,disgust
Seq29_10,disgust
Seq29_11,disgust
Seq29_12,disgust
Seq29_13,disgust
Seq29_14,disgust
Seq29_15,disgust
Seq29_16,disgust
Seq29_17,disgust
Seq29_18,disgust
Seq29_19,disgust
