Sequence,label
Seq3,Anger
Seq4,Anger
Seq5,Anger
Seq6,Anger
Seq7,Other
Seq9,Other
Seq10,Anger
Seq11,Surprise
Seq13,Other
Seq14,Surprise
Seq15,Other
Seq16,Happiness
Seq19,Happiness
Seq21,Happiness
Seq23,Anger
Seq24,Anger
Seq25,Surprise
Seq26,Anger
Seq27,Anger
Seq29,Anger
Seq30,Anger
Seq31,Other
Seq32,Other
Seq33,Other
Seq34,Happiness
Seq36,Happiness
Seq37,Happiness
Seq38,Happiness
Seq39,Anger
Seq43,Contempt
Seq44,Other
Seq45,Happiness
Seq46,Happiness
Seq47,Happiness
Seq48,Other
Seq49,Contempt
Seq50,Other
Seq52,Surprise
Seq53,Anger
Seq54,Anger
Seq55,Anger
Seq56,Anger
Seq57,Anger
Seq58,Anger
Seq59,Other
Seq60,Other
Seq61,Surprise
Seq62,Happiness
Seq63,Happiness
Seq64,Happiness
Seq65,Contempt
Seq66,Happiness
Seq67,Happiness
Seq69,Happiness
Seq70,Other
Seq71,Contempt
Seq72,Surprise
Seq73,Anger
Seq74,Surprise
Seq76,Surprise
Seq77,Happiness
Seq78,Contempt
Seq79,Surprise
Seq81,Contempt
Seq82,Anger
Seq83,Other
Seq84,Other
Seq85,Other
Seq86,Other
Seq87,Surprise
Seq88,Other
Seq89,Happiness
Seq90,Other
Seq91,Other
Seq92,Other
Seq93,Other
Seq94,Other
Seq95,Contempt
Seq97,Anger
Seq99,Other
Seq100,Anger
Seq101,Anger
Seq102,Anger
Seq103,Anger
Seq104,Happiness
Seq106,Happiness
Seq107,Anger
Seq108,Other
Seq109,Other
Seq110,Other
Seq111,Other
Seq113,Anger
Seq114,Other
Seq115,Anger
Seq116,Anger
Seq117,Anger
Seq118,Other
Seq120,Anger
Seq122,Contempt
Seq123,Other
Seq124,Other
Seq125,Other
Seq126,Contempt
Seq127,Surprise
Seq128,Surprise
Seq130,Anger
Seq131,Anger
Seq132,Anger
Seq133,Anger
Seq134,Anger
Seq139,Happiness
Seq140,Other
Seq141,Anger
Seq142,Anger
Seq143,Anger
Seq144,Anger
Seq146,Anger
Seq147,Anger
Seq148,Anger
Seq149,Anger
Seq150,Other
Seq151,Other
Seq152,Other
Seq153,Other
Seq155,Contempt
Seq157,Other
Seq158,Anger
